population_thousands,industrial_output_index,avg_temperature_c,precipitation_mm,water_pricing_tier,infrastructure_age_years,leakage_rate_percent,agricultural_share_percent,conservation_programs,metering_coverage,climate_type,economic_development,water_consumption_ml_per_capita
,13.595092818148412,34.967958074832865,287.2157359037096,Very High,95.27028241736527,13.063286861608255,13.202576294003938,Advanced,Partial,Temperate,Low,387.3138422368549
769.0,61.553099353779785,14.381244495493505,79.07892655636444,Low,20.305284117204558,11.181866600019717,10.128165453275182,None,Partial,Semi-Arid,Low,
860.0,78.81994502580625,19.87900068784144,245.53904652357588,Very High,51.300794180472295,28.44688868146205,14.642211499595694,None,Complete,Humid,Low,138.01771700470562
417.0,46.46534466609269,24.799362443016634,273.6695325916315,Low,26.08978548650067,12.343137825904911,,Advanced,Complete,Semi-Arid,High,254.76998987145512
833.0,63.29735694515178,17.247724981947727,93.80514873473825,Medium,33.638415764709364,31.669607770497862,34.11232898092696,Basic,Partial,Arid,High,324.5256794849937
951.0,42.8956144249896,17.733810588834082,295.9967601764471,High,25.20273993250411,15.865741678987064,57.1222262432608,Advanced,Partial,Temperate,High,474.42725577530905
229.0,25.660635960369802,15.343612224468009,240.43489391748867,Medium,12.388647315263688,39.414918721980065,55.39829727153378,Advanced,,Semi-Arid,High,119.52482297653769
827.0,34.006382520026044,31.012831137939703,231.25452024730336,High,91.47368962263089,6.9377988073434835,58.74990971935476,None,Complete,Arid,Low,72.97819959431548
981.0,68.25652653675027,13.35832351488051,33.80303813155648,Low,30.386717014463862,31.253680032491182,36.902494026143756,Advanced,Partial,Semi-Arid,Low,406.46572827642217
669.0,13.006469538110032,16.29794012839977,0.9520406385663205,High,85.77858577545686,,71.28013137512019,Advanced,Partial,Temperate,Low,387.6338259319913
123.0,76.22929451621697,31.150185088848886,203.2974596200664,Medium,56.94150716443264,27.460682229009258,79.09042162844565,Advanced,Complete,Arid,Low,211.42980307032116
579.0,88.7244202101991,21.947632242535917,63.290537421332196,Medium,92.11714228990793,24.64963512508995,75.22744934711514,Comprehensive,Partial,Semi-Arid,,253.85991709235725
78.0,49.666535324256444,16.561898630036826,156.96204552978764,Low,70.09775253406727,27.08101266013524,,Basic,,Arid,Medium,67.28193107331195
503.0,31.50269482327114,11.80640992563816,110.82493964253689,Low,86.19343621806892,15.872044779273333,73.56360008694641,Comprehensive,Partial,Humid,High,361.613656107129
794.0,9.100928679126897,14.745007422397045,245.23639820083312,Medium,89.71240227708877,18.691141755736155,68.95689041934051,Comprehensive,Partial,,High,362.0229064056595
899.0,93.31576565471723,31.181872636747972,10.857839431401207,Very High,39.2734582789367,13.142877128030662,4.284485638452331,Comprehensive,Partial,Temperate,High,385.84078879909003
260.0,66.70599688847577,,35.25319172943656,Low,14.160290187371476,15.487519537373073,63.07189026043435,Advanced,Partial,Semi-Arid,High,414.0445889071373
618.0,69.35005694131303,24.297601689381096,167.08679941221547,Very High,21.252033224661723,35.61535507975901,29.832237384598983,None,Complete,Temperate,Medium,215.75413788591084
430.0,14.890400322136532,33.38506450772813,252.25549858393276,Medium,83.94818726499149,13.139842352220509,4.613008201616866,Basic,Partial,Semi-Arid,Medium,71.90663023753244
815.0,,10.304203958472648,241.8780862652359,Very High,30.701537597405487,34.559600368110125,4.03046092089288,,Complete,,Low,433.009300026818
981.0,39.2609386776506,12.111179174026528,208.8138495594468,Low,70.28178610099165,26.362701225482958,28.986320190397564,Advanced,Complete,Semi-Arid,Medium,190.08393792376435
522.0,88.15323162868376,12.321815746125377,164.04318120180216,Low,19.82838825618353,26.8205562351173,53.622709936692004,Comprehensive,Complete,Temperate,Low,79.12778076722435
,21.829441907156077,20.847860453303248,127.19442271683803,,91.45346863648372,15.824332146587565,26.730479195786863,None,Complete,Semi-Arid,Low,387.128229746003
907.0,,14.901041716238241,115.29883379438118,High,88.55593560850791,13.285641719094677,2.832220911266541,Basic,Complete,Temperate,High,101.8170710898903
362.0,66.58647628692115,10.901959244980777,248.0144317361329,Medium,48.194401585477955,18.809153331444683,10.949966877272947,None,Partial,Humid,High,221.56101323653294
841.0,70.85941567474572,27.39230561538762,20.653955340995523,High,78.4762818971774,37.59817699855245,6.037253953581212,Comprehensive,Partial,Semi-Arid,Low,413.13581750009115
556.0,70.22226769146724,30.141530855025017,74.39403488690216,Low,81.39417235340233,38.249396151255596,27.69055049751919,Advanced,Partial,Temperate,Low,115.64765348454183
666.0,97.84315059621905,25.33755488717901,7.478993983733584,Low,73.08546987515429,10.746420405245814,30.175858140442262,None,Partial,Humid,High,425.828501048255
678.0,77.36617397873395,19.371142257612853,41.937060703557904,Medium,28.722430642552617,28.16622915678845,27.852849939264193,Basic,Partial,Temperate,Low,368.9490718253302
873.0,1.9952259490680468,20.952439540295458,188.09054605297743,Low,91.87194739531975,19.437181453751236,25.050658388235956,Basic,Partial,Temperate,High,268.4698730818544
533.0,9.20977670464177,22.612802846008947,248.51229768269044,Low,,6.47577105690757,27.810236175677467,Advanced,Partial,Semi-Arid,Low,463.65117567118597
896.0,,34.248446329216094,156.76519580354633,Low,88.96466987952886,7.895328074464782,34.64144807709889,Basic,Partial,Temperate,High,491.0240380415132
66.0,34.75933371181262,17.771923009486926,179.0580287138855,High,60.74383822189287,31.257977332187668,27.111822377499635,Comprehensive,Complete,Humid,High,270.8781608415287
145.0,45.881303997572985,22.725286181615438,259.34679679147524,Very High,77.24551806225028,5.046398559587097,3.424841540517054,Comprehensive,Partial,Semi-Arid,Medium,264.6346505647765
391.0,,18.46197930860601,,Low,45.4362608312989,18.940018546934574,17.752473921057437,Basic,Complete,Humid,Low,473.74885262958566
661.0,51.41812715038735,17.950934589462783,209.60211629195888,Very High,47.37001758330878,10.548130932061131,,Comprehensive,Partial,Temperate,Low,329.5946835290961
696.0,13.770941198676844,29.94556676072743,126.3412367147534,Very High,46.321614100931875,39.61962993291243,78.0018903320216,None,Complete,Temperate,Medium,290.9196765766019
752.0,18.49974383332773,15.830484172947308,170.27344315183564,High,98.3653012529677,7.018079404387238,1.891988134768523,Comprehensive,Complete,Temperate,Low,328.19902913105693
202.0,75.26506017783068,10.286006933905202,4.745310360600263,High,33.683677703439656,9.793673579925132,23.074780433406048,Basic,Complete,Semi-Arid,High,170.40055646990777
57.0,43.29951905126843,11.037693568163395,273.3581558811435,High,36.61225286022488,36.95954933751476,23.905544933610496,Comprehensive,Complete,Semi-Arid,High,271.4332985245783
618.0,57.894420782549794,22.176151181348796,46.52052748818747,Medium,29.776788096064948,15.134092836344296,18.748936875110623,None,Partial,Semi-Arid,Medium,238.75801080662902
787.0,26.042224461459128,,100.38185840980441,Medium,42.122020359081446,15.295049266255152,45.12184452545762,Basic,,Humid,High,353.7334717700255
623.0,13.152053474079084,31.74315433634874,290.53872159576355,High,67.5695255837613,36.959486961357015,19.96376369149189,,Complete,Semi-Arid,Low,157.86542467045217
163.0,90.87497753127955,19.94174782946493,184.77674641515875,Low,74.46565354274728,10.999968544790098,72.68452569398764,Advanced,Partial,Temperate,Low,497.53180381293487
760.0,79.60782024704139,15.55232832995596,134.06264796574217,Medium,27.691956217499722,38.846277788380235,23.682116116462133,Comprehensive,Partial,Semi-Arid,High,257.0227881399783
397.0,89.22257878189073,11.398312852500355,8.465968039520778,Very High,98.86570939235129,20.036029427676677,64.7853960512378,None,Complete,Humid,High,466.4029185915489
719.0,35.01487715437817,32.622051666920854,,Medium,57.64217318677211,19.713067095433594,6.56655205455098,None,Partial,Humid,,162.6942536929036
165.0,9.191414684444688,25.20887459529495,176.99299041772792,Medium,14.354167291664147,37.491434321334516,2.9787673559722982,Comprehensive,Complete,Arid,,408.67828803817514
915.0,99.01210417654842,11.993163265167011,131.47669814219427,High,28.108256034074866,8.233928131329103,79.6678911895857,Advanced,Partial,,High,450.2871567037294
600.0,89.72442939370973,33.22973111975945,111.33468048157324,High,68.43256404889391,11.70858821978654,52.92495098006331,Comprehensive,Partial,Temperate,Medium,455.8054570277287
858.0,72.62434814143496,34.38509907547302,204.34016324697882,,65.15264169829527,33.50778896965524,62.50062221852958,Advanced,Complete,Temperate,High,347.57584636303665
347.0,92.41096120892786,28.375600751209422,297.1526923259312,High,33.51925868200438,10.54900863320383,45.45953305046783,Comprehensive,,Temperate,Medium,416.43003238930373
965.0,29.988716910244417,29.38208389772285,7.065976384213036,High,64.7887300770032,16.36807268520427,32.610328653950724,None,Complete,Temperate,High,
79.0,99.58042608135462,17.4261116679995,49.76082159341535,Very High,45.83418296652014,30.909364150412138,77.70748017237545,None,Partial,Temperate,Medium,299.9206134907761
181.0,60.00771752064635,22.978322784033388,271.91196143798373,Low,56.41235590870803,20.276396008263095,25.372611300036176,Comprehensive,Partial,Humid,High,400.1481332697821
836.0,87.77055814618693,27.25247033650532,19.047672469070008,,79.30601152252143,26.35158753443685,71.41286163274977,Comprehensive,Complete,Temperate,Medium,151.68614379304017
988.0,19.604485266678406,11.456773412594531,214.75170369586021,Low,73.32321136777976,19.177370773314422,14.316752733611073,None,Partial,Semi-Arid,Low,228.51194405601126
852.0,2.4555795217954257,12.737468803197382,142.8624174862234,Low,25.32889180027859,25.757188885945684,41.22115697487181,Basic,Partial,,Medium,467.10817687174153
166.0,35.628851016862754,18.549528054602384,,Medium,39.1493695528105,38.233463166087745,5.96358473940767,Basic,Complete,Arid,Medium,76.76251858564764
284.0,61.96465963394099,23.52296342340434,295.27655876510306,Medium,22.523099541229676,11.065875403060325,64.69945026615545,Advanced,Complete,Humid,Medium,344.8696598334643
292.0,83.76634054805999,21.609826551423367,197.55803575023802,Very High,35.50094901127122,23.81754464130561,7.952076073018182,Advanced,Complete,Temperate,Medium,158.95558305848078
339.0,50.46742849690307,16.551917879837312,15.438888100250459,High,83.019765762586,38.93535810598405,67.11742255550966,None,Partial,Semi-Arid,High,55.318812826716304
397.0,31.084690684073635,33.02167988162713,75.02217680464467,Medium,43.353765289713635,11.715656432934395,14.079935353008146,Advanced,Complete,Arid,Medium,
655.0,88.09506567852517,22.84947531949087,130.71079252482212,High,82.60894872944549,10.806217309029499,52.656712807432264,Comprehensive,Partial,Temperate,Medium,392.4678568700648
460.0,11.235539823940933,26.93857048300116,152.03269174228893,Very High,84.47036107419187,28.349067039937985,73.36339330973841,None,Partial,Humid,High,344.34829781189643
204.0,14.88550051881905,20.996497223465315,188.51576435887455,High,32.89997642466504,39.77906285196491,24.505445934687682,None,Partial,Temperate,Low,
575.0,56.52001534194528,,123.9943360626976,Low,63.70518498161554,6.2275390981832786,64.51165542814084,,Partial,Humid,Medium,484.45611337693515
767.0,93.81292027940933,21.975736854086364,2.293805158491047,Low,17.352613914914826,19.305987527930423,57.948435253879666,Advanced,Partial,Semi-Arid,High,123.92565039960586
257.0,91.71539243745163,14.462534817948166,102.48506588998404,High,27.75251465645826,31.856073947513675,2.6001176215002353,Basic,Partial,Semi-Arid,Low,160.17622954471017
562.0,91.6451835812631,22.449705102234013,287.3175562740603,High,71.66395121993018,9.242578594905794,75.18890822883361,None,Partial,Semi-Arid,Low,440.7419406978132
753.0,46.0160193152777,21.02494612414487,269.26763792285556,Low,60.816700381255444,29.096081373588746,20.386804969029264,None,,Arid,High,175.18764434425708
531.0,41.55935357011739,22.700488899499152,226.77153171452375,High,23.54785993817262,21.077276202766285,12.615350041814493,Advanced,Partial,Humid,,51.31503053667541
792.0,18.683959430368347,20.319154594533536,18.657665376843713,High,25.35122613557533,21.32056516314704,9.911165791263628,Advanced,Complete,Arid,High,418.5161540362953
706.0,91.80121354613763,16.49144960134023,117.2041024626992,Medium,56.15968697064644,34.19335513738376,22.508549676708736,Comprehensive,Complete,Humid,High,354.7231965164919
857.0,84.9700714054756,20.137235373235786,134.49125028260795,Very High,54.48061981904884,21.960810537479926,0.002341719653999874,None,Partial,Arid,Low,289.6319563483104
,59.981889726189166,32.25440193766765,208.88924714883822,High,51.66416517159936,18.574146958323926,3.572690043835207,Basic,Partial,Humid,Medium,297.84701091138044
735.0,42.63970477402298,24.837396953722646,211.26314223394962,Medium,70.35475813122605,23.14866281209391,70.26719601389229,None,Complete,Arid,High,397.00004707467025
162.0,97.57559335241314,24.154892123925272,135.81418634825047,Low,82.70253434834582,16.748672877817455,4.478019860537419,Advanced,Complete,Temperate,Medium,349.22075321483265
521.0,10.091262043316851,10.548786368896026,56.40462609978396,High,59.44413467823491,25.601650391895426,23.043301355099153,Comprehensive,Complete,Arid,Medium,167.03690657062867
,84.06023694568349,11.711982107115409,171.68743861004532,,74.93154999808962,21.415203062011045,2.980013499565146,Comprehensive,Partial,Humid,Low,365.42913635357405
950.0,,19.20383168644841,215.60616090508577,Very High,24.09192592134839,11.541378032715487,69.15567409081171,None,Partial,Semi-Arid,Low,477.645919151366
784.0,46.07595055903829,13.47422050308824,60.405458794776415,Low,,36.28540444661474,48.98977314496027,Basic,Partial,Arid,High,356.26477993001293
942.0,64.6987178866488,18.252734705807157,111.00448667635963,High,76.20901216084711,36.82350218757091,46.21592744751071,Basic,Complete,Humid,High,80.8904493546162
342.0,76.65698397275173,16.940117813573327,190.0864656553547,Low,60.86558886841198,13.600082069276043,49.72083535241774,Basic,Partial,Humid,Low,342.967098975046
832.0,78.33740970214927,10.775941117828546,266.0910867521805,Medium,16.436469702755357,16.38044628416463,41.81212446954046,None,Partial,Temperate,Medium,321.4579691978208
209.0,37.15648897668877,22.511378649453874,278.78884684133635,Very High,47.544012623321834,14.595184591141162,44.073071272851024,Basic,Complete,Arid,Low,128.76600846207702
814.0,9.453862875917551,18.28132086903988,268.7058156685658,High,72.91104570198303,7.438994329004144,60.12042834036365,Advanced,Partial,Semi-Arid,Medium,393.6413072194602
743.0,93.22334738457124,27.128589548191094,107.4984609357069,Very High,,16.442221495302164,14.704157416138566,Basic,Partial,Temperate,Medium,224.89056156509463
998.0,71.04947888174429,18.393174609712975,171.8336278113,Very High,55.48805853348638,29.102621739081115,39.598969166882625,Basic,Complete,Temperate,Low,
493.0,20.389346490085593,22.403058557470928,136.12451163212828,Medium,55.259862465172176,18.34119404875871,12.38196787621792,Comprehensive,Partial,Semi-Arid,Medium,190.97878308883955
78.0,4.9180941876223905,,136.3729456982531,Very High,39.92427735857463,36.43481439600416,52.03902659853685,Comprehensive,Complete,Humid,Low,51.90140980002478
,30.661025327904802,10.96650101329791,204.39180763534878,Medium,97.14545245590156,20.026073225079237,22.442381985295874,Comprehensive,Partial,,,204.28760645040467
984.0,59.279902832083934,30.15296068652107,74.48897593162705,Medium,52.85223850945927,21.813533452428665,40.27593187371067,Comprehensive,Partial,Arid,,136.22242723374455
360.0,23.441056658567394,,245.66524067235926,Medium,55.13833688409239,26.43891371666656,8.914925714682154,Advanced,Partial,Arid,High,123.65381354801436
850.0,60.80609863276846,15.434113035648352,88.1034304694888,Very High,93.58498781657813,9.647020794772658,54.004215427632275,Advanced,Complete,Humid,Medium,469.24640099092034
973.0,77.7132962794996,14.00184178448707,,Low,47.85849094356814,8.10231823741742,22.98345583128387,Advanced,Partial,Temperate,Medium,268.6769991421751
264.0,58.42730993548341,27.81369535867512,106.01553577930824,Low,74.0877136370154,16.34176888297685,1.9980796784740384,None,Partial,Humid,Medium,311.338525378169
250.0,34.37532346203567,20.468667899502194,251.27127796109096,Medium,59.17942012570022,19.143359053601323,9.818928290773306,Basic,Complete,Arid,High,108.06219481735033
726.0,72.34250074549267,16.23136402722042,120.04950963746609,Medium,15.154630426697366,33.47143110914902,33.75636937931447,Comprehensive,Partial,Humid,High,210.09474583177632
440.0,54.059532006359014,30.257032803779218,164.00377846160802,Medium,92.4820682027198,16.34336844222927,32.307099705919235,Basic,Partial,Temperate,High,487.098053857245
473.0,99.97226242638617,25.690121398854778,47.636571589966714,Medium,86.9149674226204,20.939725425798677,32.24441743681336,Basic,Complete,Semi-Arid,Medium,408.16103644916603
470.0,76.47092692833162,25.096165005206267,297.81697819169284,High,22.220186137214142,11.66858080517439,5.644066723299748,Comprehensive,Complete,Arid,High,241.8686388432614
320.0,65.17222442351547,14.345304939170276,188.06458579597336,Low,96.45512584105285,37.529486807349244,21.699527178770683,Advanced,Partial,Humid,High,274.82561890653943
175.0,36.744916780609806,30.297328973857496,137.90042983814428,Low,45.86323795032648,36.683574035101415,68.39031550302028,Comprehensive,Partial,Humid,Medium,146.47183097110866
985.0,0.3166806552638901,25.56113195173687,273.07784501464374,Very High,30.8948525819864,22.886195135941712,54.476307630790906,Advanced,Complete,Arid,Low,327.61227762971185
656.0,90.19732371619658,10.518481885300767,177.72754145154838,Low,19.957565637741865,37.12236001187067,69.16520083263275,Advanced,Partial,Semi-Arid,Low,253.49069566075838
247.0,59.82699324307351,10.0855272851293,277.81422387869384,Medium,37.48979095049783,24.364545179530026,76.02364174329766,None,Complete,Temperate,Low,345.15646878513843
483.0,,12.494156519791641,168.18184018911765,Very High,81.10314075587178,13.153132108976763,26.33172080467866,Comprehensive,Complete,Semi-Arid,Low,138.91485465514936
965.0,26.17858605784633,15.299563191609511,188.41951036843852,High,99.291774697215,39.82794355561953,43.617669277587936,Basic,Partial,Humid,Low,139.37980949373994
997.0,46.28772253012327,33.51589962444548,233.37369609133378,Low,72.18033210983721,27.451081616957804,51.49978694352636,Advanced,Partial,Semi-Arid,Medium,292.88510562187827
193.0,34.76938502137015,11.916628425392696,255.44469477943832,Medium,81.8678624659,9.750864837616149,43.03380221724896,Advanced,Partial,Arid,High,239.66619820532713
222.0,2.608732344208675,20.891403734167717,295.77973600722834,Very High,92.27816540526108,34.247547225356826,48.718952943689615,Advanced,Complete,Humid,Low,132.5035365653826
830.0,51.88269362751243,10.813093970582388,252.48209678680087,Medium,30.62888855442979,33.56918903470988,0.1443550674529792,Comprehensive,Complete,Temperate,High,378.1431788573967
499.0,49.69222504314198,10.734329060871872,39.44537277484728,Low,79.8563044525687,13.862365204570581,42.01391206992004,None,Partial,Temperate,Medium,466.50376219594386
425.0,58.30262908005709,31.486974541758844,78.75415533486328,Low,22.472681483285715,8.777367402850972,1.7801309087177408,None,Partial,Humid,Medium,256.3477208818321
153.0,57.975496235544654,16.31334822410809,24.233098688919718,Medium,94.85061531476549,39.968249628086745,10.722175394380011,Basic,Complete,Temperate,,355.07239735091224
507.0,89.03515989584027,20.583389713002106,,,24.06971952683069,,45.90164934366431,None,Complete,Semi-Arid,Low,281.61797306606576
547.0,25.388882283617765,21.33752581810066,106.7911520856606,Medium,68.82084751731675,28.667197984173818,42.597325411748905,Comprehensive,Complete,Semi-Arid,High,208.96832824424953
948.0,96.58171139887696,19.91202973687931,287.64288763735414,Very High,62.09526578080168,34.777625192085395,0.38087196437700754,Basic,Complete,Humid,Medium,87.08040689290823
,8.959418998274572,19.13205397291587,174.64604493154937,High,90.88727287934871,11.856979326772223,50.898755505913506,Advanced,Complete,Humid,,436.35152750825006
673.0,50.108527654729414,26.626030669762404,199.24293294874136,High,84.39281439891174,9.630977760613103,78.26626600884245,Basic,Partial,Arid,High,178.726446306111
249.0,61.87303191151403,30.215973244319365,293.03796734775153,Low,96.67904013604002,23.1866167578714,51.28716150500932,,Partial,Temperate,Medium,89.5406755593507
272.0,92.3451303569434,17.329458409202907,156.78070784487045,Very High,,6.182866206471584,20.964883888310624,Advanced,Partial,Temperate,Low,116.85038912681382
56.0,40.12598395810674,28.88735293960613,124.71990931360193,High,52.78512976076918,22.46670490988059,25.331219425302535,None,Partial,Humid,Medium,339.86776462847706
61.0,67.19681624232136,31.188443705612954,172.87804241194976,Low,73.09187745231011,12.872413904303444,76.37027602521809,None,Partial,Humid,Medium,125.80915245153369
,38.560068872661304,32.57278810055136,96.6185946832214,Very High,26.81372188126283,8.135556237691492,69.8754569833782,Basic,Partial,Humid,Medium,118.24901712883467
483.0,53.34247058721356,10.658347459634918,,Low,51.19414679632732,15.662751943709193,31.639138409156438,Comprehensive,Complete,Humid,Low,100.63323778316797
853.0,26.845255194852424,20.642824137710747,123.99040147038298,High,24.76336441671466,34.04225634342532,32.82128321189635,Advanced,Complete,Temperate,High,98.82524963490467
500.0,23.720353980847918,21.96565217609254,199.574851197723,Low,,38.772436621807124,50.28888641748612,Comprehensive,Complete,Arid,High,319.453448774437
44.0,58.75037105814522,27.26311696361405,230.63723034505864,Medium,92.37181708557438,12.009083975221422,,Advanced,Complete,Humid,,334.4429988996339
328.0,93.58559878354029,17.489077074465143,5.09794776471999,High,73.31230254612726,18.15484612304732,22.155090929333667,Basic,Complete,Semi-Arid,Medium,131.0688987372223
651.0,80.80768998261432,31.061342440350018,107.35068883678065,Very High,39.17071498057577,8.120882023040506,29.69301023990573,Comprehensive,Complete,Semi-Arid,Medium,81.95144989646447
508.0,,18.61213150349945,206.8153506598181,Very High,36.62322569023832,27.19958673478756,23.890768167524257,None,Partial,Semi-Arid,Medium,279.21320296545093
825.0,34.15833868478069,19.841595205072043,162.89376629711566,Very High,14.209290317744841,15.679085823902474,47.434224075058104,Advanced,Partial,Temperate,Medium,363.10776475758496
557.0,14.109605416692194,29.486617330713056,141.4666083948696,Medium,50.030421196664314,18.739958565832353,5.431682082072546,Comprehensive,Complete,Temperate,Medium,179.13541290093556
628.0,54.11173073004411,30.104792328442826,284.14178914691445,Very High,54.260468714436385,14.217763334272341,66.58200581848337,None,Complete,Temperate,High,52.05470400484479
328.0,51.08639777980522,20.781463067581832,264.1755870965527,Very High,47.7365556927768,11.230240152508308,34.78892364439502,Basic,Complete,Arid,Medium,409.8385959963298
160.0,61.6571546955288,13.750489946535435,11.244452639970326,Very High,87.99004002274415,23.070865685826746,75.71054094267892,,Complete,Semi-Arid,High,216.72826324392216
791.0,22.102251604729783,16.667845876999696,172.76958581145905,High,47.964502336886994,9.271918849656654,27.30472282823972,None,Partial,Semi-Arid,Low,436.78167312363064
392.0,35.79385809067712,18.19271740152734,163.1051395523084,,34.19586234957732,32.332205678637536,32.61376898687536,Advanced,Partial,Semi-Arid,High,389.8536633982261
718.0,58.01566173183055,16.27970993280256,293.08968233519255,Medium,54.33215389143432,6.206912725749849,15.667672215078365,Comprehensive,Complete,Arid,High,341.0652547597866
970.0,34.720581059725205,10.372219214402447,107.48400602042616,Very High,19.141076626940915,37.221982793297556,48.24257338948635,Basic,Complete,Humid,Medium,59.36210282239528
,93.16931067625637,11.089161329379065,6.759203258267698,Very High,87.71857615985807,27.25456177005332,4.116294216504475,Advanced,Partial,Semi-Arid,Medium,62.19506758247522
99.0,68.11268367160672,27.091650785280255,109.02663574694044,High,74.31600988988585,11.684262883426895,73.98680912390837,Basic,Complete,Temperate,Low,259.5931465850843
608.0,84.26282960717863,16.90540946152297,138.45799287391526,Low,46.37428242678733,38.95551224502335,54.57272056244733,Comprehensive,Partial,Temperate,Medium,275.49088649612634
14.0,97.3766011181211,15.572945742556136,88.53623639494157,High,,31.776167609582302,62.338948015642906,None,Partial,Humid,High,185.2503957017241
927.0,0.009410845837654058,20.96411187735653,297.7052470137678,Very High,89.16692278901633,32.655685845616276,0.5549586713673715,,Partial,Arid,Medium,393.1882060200548
428.0,30.16623797997202,34.13730649810543,134.8067206200813,Low,31.703231085493176,27.256214595284753,54.21421229581022,Comprehensive,Complete,,High,289.05764834815824
991.0,84.44760014116859,21.66276897631802,176.69094392820975,High,,28.90004327130008,54.61141626968995,,Complete,Humid,Medium,311.95874065622365
